strategy,instances,avg_time
INFORMATION_GAIN,106,0.289608716964721
INFORMATION_GAIN,93,0.221845436096191
INFORMATION_GAIN,85,0.17930989265441802
INFORMATION_GAIN,83,0.15174055099487302
INFORMATION_GAIN,64,0.090019226074218
INFORMATION_GAIN,19,1.720135927200317
INFORMATION_GAIN,4,0.8466606140136711
INFORMATION_GAIN,2,0.523138046264648
INFORMATION_GAIN,254,1.855392742156982
INFORMATION_GAIN,167,1.093173027038574
INFORMATION_GAIN,99,0.7600631713867181
INFORMATION_GAIN,89,0.28100299835205
INFORMATION_GAIN,88,0.20300173759460402
INFORMATION_GAIN,63,0.10900092124938901
INFORMATION_GAIN,43,0.083986759185791
INFORMATION_GAIN,17,0.09900665283203101
INFORMATION_GAIN,176,0.9300926923751831
INFORMATION_GAIN,137,0.758363723754882
INFORMATION_GAIN,87,0.122131586074829
INFORMATION_GAIN,46,0.086989164352416
INFORMATION_GAIN,33,0.15504161516825302
INFORMATION_GAIN,203,1.704044818878173
INFORMATION_GAIN,115,0.9686591625213621
INFORMATION_GAIN,72,0.6887845993041991
INFORMATION_GAIN,58,0.571074485778808
INFORMATION_GAIN,44,0.312989473342895
INFORMATION_GAIN,36,0.09199810028076101
INFORMATION_GAIN,18,0.07001233100891101
INFORMATION_GAIN,116,0.9128444194793701
INFORMATION_GAIN,52,0.41509723663330006
INFORMATION_GAIN,30,0.19201803207397403
INFORMATION_GAIN,25,0.08300614356994601
GAIN_RATIO,1209,9.975848277409872
GAIN_RATIO,1,0.010013500849405001
GAIN_RATIO,33,0.092127561569213
GAIN_RATIO,138,0.5086369514465331
GAIN_RATIO,83,0.270716905593872
GAIN_RATIO,77,0.13550174236297602
GAIN_RATIO,68,0.22165775299072202
GAIN_RATIO,36,0.10225725173950101
GAIN_RATIO,34,0.050273805856704004
GAIN_RATIO,479,0.24307946725325102
GAIN_RATIO,433,0.09050059318542401
GAIN_RATIO,354,0.06308037042617701
GAIN_RATIO,353,0.057002902030944005
GAIN_RATIO,115,0.022337675094604003
GAIN_RATIO,65,0.021053393681844
GAIN_RATIO,37,0.016403436660766
GAIN_RATIO,21,0.010562896728515
GAIN_RATIO,130,0.055991172790527004
GAIN_RATIO,40,0.074497103691101
GAIN_RATIO,28,0.035546302795410004
GAIN_RATIO,369,0.087578773498535
GAIN_RATIO,42,0.03526496887207
